,song_name_api_opus,song_name_opus,artist_name_opus,catalog_name_opus,owned_catalog_opus,input_parameter,country_code,song_id_luminate_opus,isrc_opus,album_name_opus,release_date_opus,metric_luminate,start_week_id,end_week_id
102,Purge,Purge,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021901,,2017-09-22 00:00:00,StreamingOnDemand,201840,202335
103,Covid Mansion,Covid Mansion,Hopsin,Hopsin,No,isrc,G1,,QM24S2004277,,2020-04-21 00:00:00,StreamingOnDemand,201840,202335
104,Ill Mind 6: Old Friend,Ill Mind 6: Old Friend,Hopsin,Hopsin,No,isrc,G1,,USUYG1032052,,2013-07-18 00:00:00,StreamingOnDemand,201840,202335
105,Am I a Psycho?,Am I a Psycho?,Hopsin,Hopsin,No,isrc,G1,,Not Found,,2011-06-07 00:00:00,StreamingOnDemand,201840,202335
106,Hell's Carol,Hell's Carol,Hopsin,Hopsin,No,isrc,G1,,TCAEA1812347,,2018-12-24 00:00:00,StreamingOnDemand,201840,202335
107,Ill Mind Of Hopsin 4,Ill Mind Of Hopsin 4,Hopsin,Hopsin,No,isrc,G1,,TCABY1497682,,2011-07-18 00:00:00,StreamingOnDemand,201840,202335
108,Your House,Your House,Hopsin,Hopsin,No,isrc,G1,,QM24S2100205,,2021-01-22 00:00:00,StreamingOnDemand,201840,202335
109,All Your Fault,All Your Fault,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021884,,2017-02-20 00:00:00,StreamingOnDemand,201840,202335
110,Bout The Business,Bout The Business,Hopsin,Hopsin,No,isrc,G1,,TCACP1603822,,2016-04-20 00:00:00,StreamingOnDemand,201840,202335
111,False Advertisement,False Advertisement,Hopsin,Hopsin,No,isrc,G1,,TCACR1638975,,2016-08-26 00:00:00,StreamingOnDemand,201840,202335
112,Bass,Bass,"Hopsin, Merkules, Tech N9ne",Hopsin,No,isrc,G1,,QMRSZ1902168,,2019-10-16 00:00:00,StreamingOnDemand,201840,202335
113,No Words 2 Skit,No Words 2 Skit,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021903,,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
114,Die This Way,Die This Way,"Hopsin, Matt Black, Joey Tee",Hopsin,No,isrc,G1,,TCACP1606349,,2016-05-31 00:00:00,StreamingOnDemand,201840,202335
115,No Words,No Words,Hopsin,Hopsin,No,isrc,G1,,USWB11506716,,2015-07-24 00:00:00,StreamingOnDemand,201840,202335
116,You Should've Known,You Should've Known,Hopsin,Hopsin,No,isrc,G1,,TCAEB1937621,,2019-01-28 00:00:00,StreamingOnDemand,201840,202335
117,Low-Key,Low-Key,Hopsin,Hopsin,No,isrc,G1,,TCADZ1895700,,2018-12-21 00:00:00,StreamingOnDemand,201840,202335
118,Hotel in Sydney,Hotel in Sydney,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021865,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
119,Right Here,Right Here,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021877,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
120,Twisted,Twisted,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021881,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
121,Cute in a Suit (Skit),Cute in a Suit (Skit),Hopsin,Hopsin,No,isrc,G1,,TCAEP2021882,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
122,All Your Fault (Remix),All Your Fault (Remix),Hopsin,Hopsin,No,isrc,G1,,TCAEP2021884,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
123,Money on the Side,Money on the Side,Hopsin,Hopsin,No,isrc,G1,,TCAEP2021886,No Shame,2017-11-24 00:00:00,StreamingOnDemand,201840,202335
